0.080 0.839 0.177 0.668   -1.0
0.658 0.477 0.172 0.206   -1.0
0.007 0.367 0.470 0.123   -1.0
0.588 0.320 0.031 0.500   -1.0
0.382 0.176 0.317 0.957   -1.0
0.762 0.839 0.113 0.162   -1.0
0.396 0.242 0.031 0.573   -1.0
0.197 0.231 0.387 0.369   -1.0
0.486 0.376 0.804 0.957   1.0
0.299 0.545 0.819 0.330   -1.0
0.505 0.712 0.221 0.822   1.0
0.245 0.584 0.508 0.358   -1.0
0.700 0.754 0.988 0.731   1.0
0.899 0.928 0.558 0.286   1.0
0.995 0.772 0.673 0.800   1.0
0.172 0.098 0.274 0.991   -1.0
0.318 0.496 0.139 0.539   -1.0
0.808 0.784 0.901 0.317   1.0
0.647 0.017 0.896 0.636   1.0
0.224 0.535 0.677 0.782   1.0
0.974 0.777 0.593 0.647   1.0
0.322 0.819 0.675 0.596   1.0
0.103 0.914 0.306 0.243   -1.0
0.623 0.051 0.237 0.524   -1.0
0.379 0.172 0.385 0.275   -1.0
0.133 0.499 0.342 0.810   -1.0
0.163 0.783 0.058 0.756   -1.0
0.636 0.078 0.249 0.311   -1.0
0.058 0.414 0.587 0.364   -1.0
0.040 0.987 0.708 0.277   1.0
0.076 0.656 0.684 0.460   -1.0
0.491 0.594 0.430 0.833   1.0
0.711 0.996 0.187 0.769   1.0
0.617 0.405 0.830 0.866   1.0
0.503 0.924 0.130 0.090   -1.0
0.787 0.130 0.276 0.494   -1.0
0.788 0.570 0.064 0.471   -1.0
0.995 0.962 0.624 0.425   1.0
0.027 0.136 0.792 0.214   -1.0
0.544 0.831 0.310 0.373   1.0
0.026 0.876 0.621 0.156   1.0*
0.909 0.943 0.097 0.185   1.0
0.504 0.973 0.007 0.568   1.0
0.037 0.563 0.406 0.661   1.0*
0.201 0.689 0.124 0.993   1.0
0.030 0.536 0.734 0.340   -1.0
0.431 0.366 0.786 0.052   -1.0
0.752 0.961 0.465 0.849   1.0
0.902 0.354 0.119 0.909   1.0
0.563 0.947 0.485 0.969   1.0
0.473 0.170 0.296 0.598   -1.0
0.199 0.628 0.699 0.933   -1.0*
0.609 0.364 0.334 0.395   -1.0
0.856 0.147 0.378 0.321   1.0*
0.524 0.224 0.350 0.643   -1.0
0.272 0.206 0.080 0.757   -1.0
0.688 0.230 0.344 0.984   1.0
0.507 0.183 0.456 0.206   -1.0
0.423 0.815 0.481 0.757   1.0
0.898 0.613 0.357 0.275   1.0
0.354 0.800 0.158 0.704   1.0
0.291 0.975 0.649 0.371   1.0
0.823 0.059 0.962 0.167   1.0
0.790 0.674 0.226 0.246   -1.0
0.343 0.669 0.696 0.824   1.0
0.906 0.722 0.039 0.264   1.0*
0.973 0.618 0.797 0.131   1.0
0.240 0.422 0.297 0.888   -1.0
0.029 0.712 0.852 0.991   1.0
0.895 0.782 0.553 0.121   1.0
0.434 0.464 0.697 0.130   -1.0
0.123 0.037 0.010 0.162   -1.0
0.007 0.135 0.918 0.804   -1.0
0.239 0.043 0.689 0.536   -1.0
0.482 0.565 0.644 0.333   1.0
0.523 0.228 0.338 0.076   -1.0
0.365 0.510 0.812 0.062   -1.0
0.100 0.185 0.677 0.110   -1.0
0.977 0.117 0.481 0.895   1.0
0.747 0.135 0.964 0.436   1.0
0.896 0.917 0.236 0.540   1.0
0.792 0.062 0.479 0.130   -1.0
0.827 0.495 0.648 0.640   1.0
0.289 0.740 0.742 0.966   1.0
0.088 0.943 0.968 0.569   1.0
0.888 0.317 0.974 0.853   1.0
0.644 0.749 0.670 0.880   1.0
0.920 0.672 0.351 0.399   1.0
0.489 0.226 0.298 0.137   -1.0
0.855 0.426 0.607 0.597   1.0
0.457 0.685 0.335 0.425   -1.0
0.174 0.313 0.571 0.148   -1.0
0.324 0.792 0.914 0.993   1.0
0.203 0.914 0.345 0.553   1.0
0.147 0.042 0.539 0.445   -1.0
0.406 0.300 0.605 0.012   -1.0
0.997 0.469 0.583 0.332   1.0
0.837 0.507 0.207 0.409   -1.0
0.373 0.732 0.447 0.287   -1.0
0.120 0.490 0.639 0.465   -1.0
